Date,Value
1/19/2018 16:00:00,90.14
1/22/2018 16:00:00,90.0
1/23/2018 16:00:00,91.9
1/24/2018 16:00:00,92.55
1/25/2018 16:00:00,92.47
1/26/2018 16:00:00,93.12
1/29/2018 16:00:00,95.14
1/30/2018 16:00:00,93.3
1/31/2018 16:00:00,93.75
2/1/2018 16:00:00,94.79
2/2/2018 16:00:00,93.64
2/5/2018 16:00:00,90.56
2/6/2018 16:00:00,86.89
2/7/2018 16:00:00,90.49
2/8/2018 16:00:00,89.71
2/9/2018 16:00:00,86.3
2/12/2018 16:00:00,88.74
2/13/2018 16:00:00,88.93
2/14/2018 16:00:00,88.51
2/15/2018 16:00:00,91.21
2/16/2018 16:00:00,92.45
2/20/2018 16:00:00,91.48
2/21/2018 16:00:00,92.98
2/22/2018 16:00:00,92.05
2/23/2018 16:00:00,92.75
2/26/2018 16:00:00,94.4
2/27/2018 16:00:00,95.74
2/28/2018 16:00:00,94.84
3/1/2018 16:00:00,93.99
3/2/2018 16:00:00,91.58
3/5/2018 16:00:00,92.34
3/6/2018 16:00:00,94.34
3/7/2018 16:00:00,93.16
3/8/2018 16:00:00,94.27
3/9/2018 16:00:00,95.29
3/12/2018 16:00:00,96.5
3/13/2018 16:00:00,97.0
3/14/2018 16:00:00,95.12
3/15/2018 16:00:00,93.53
3/16/2018 16:00:00,94.68
3/19/2018 16:00:00,93.74
3/20/2018 16:00:00,93.05
3/21/2018 16:00:00,92.93
3/22/2018 16:00:00,91.27
3/23/2018 16:00:00,89.5
3/26/2018 16:00:00,90.61
3/27/2018 16:00:00,94.94
3/28/2018 16:00:00,89.82
3/29/2018 16:00:00,90.18
4/2/2018 16:00:00,90.47
4/3/2018 16:00:00,89.58
4/4/2018 16:00:00,87.85
4/5/2018 16:00:00,92.44
4/6/2018 16:00:00,91.49
4/9/2018 16:00:00,91.04
4/10/2018 16:00:00,92.39
4/11/2018 16:00:00,92.01
4/12/2018 16:00:00,92.43
4/13/2018 16:00:00,94.05
4/16/2018 16:00:00,94.07
4/17/2018 16:00:00,95.0
4/18/2018 16:00:00,96.22
4/19/2018 16:00:00,96.44
4/20/2018 16:00:00,95.91
4/23/2018 16:00:00,95.74
4/24/2018 16:00:00,96.24
4/25/2018 16:00:00,93.3
4/26/2018 16:00:00,93.55
4/27/2018 16:00:00,97.6
4/30/2018 16:00:00,96.33
5/1/2018 16:00:00,93.21
5/2/2018 16:00:00,94.99
5/3/2018 16:00:00,92.96
5/4/2018 16:00:00,93.32
5/7/2018 16:00:00,95.17
5/8/2018 16:00:00,95.85
5/9/2018 16:00:00,96.01
5/10/2018 16:00:00,97.46
5/11/2018 16:00:00,97.8
5/14/2018 16:00:00,97.92
5/15/2018 16:00:00,97.24
5/16/2018 16:00:00,97.36
5/17/2018 16:00:00,96.76
5/18/2018 16:00:00,96.01
5/21/2018 16:00:00,97.0
5/22/2018 16:00:00,97.68
5/23/2018 16:00:00,96.71
5/24/2018 16:00:00,98.73
5/25/2018 16:00:00,98.3
5/29/2018 16:00:00,97.84
5/30/2018 16:00:00,98.31
5/31/2018 16:00:00,99.29
6/1/2018 16:00:00,99.28
6/4/2018 16:00:00,101.26
6/5/2018 16:00:00,102.0
6/6/2018 16:00:00,102.48
6/7/2018 16:00:00,102.65
6/8/2018 16:00:00,101.09
6/11/2018 16:00:00,101.37
6/12/2018 16:00:00,101.1
6/13/2018 16:00:00,101.72
6/14/2018 16:00:00,101.65
6/15/2018 16:00:00,101.51
6/18/2018 16:00:00,100.01
6/19/2018 16:00:00,99.65
6/20/2018 16:00:00,101.37
6/21/2018 16:00:00,102.08
6/22/2018 16:00:00,100.41
6/25/2018 16:00:00,100.0
6/26/2018 16:00:00,98.82
6/27/2018 16:00:00,99.58
6/28/2018 16:00:00,97.38
6/29/2018 16:00:00,98.93
7/2/2018 16:00:00,98.1
7/3/2018 13:00:00,100.48
